import time: self [us] | cumulative | imported package
import time:       140 |        351 |               numpy.core
import time:       539 |        890 |             numpy.core.multiarray
import time:       207 |        207 |             cv2.load_config_py3
import time:       145 |        145 |             cv2.version
import time:       912 |        912 |             cv2.misc.version
import time:     39182 |      41334 |           cv2
import time:       299 |        299 |               pprint
import time:       158 |        158 |                 packaging
import time:       192 |        192 |                 __future__
import time:      1031 |       1381 |               packaging.version
import time:       423 |        423 |                 difflib
import time:       292 |        292 |                 matplotlib._api.deprecation
import time:       380 |       1094 |               matplotlib._api
import time:       127 |        127 |               matplotlib._version
import time:       357 |        357 |                 gzip
import time:       252 |        252 |                 shlex
import time:      1740 |       1740 |                 matplotlib._c_internal_utils
import time:       166 |        166 |                   matplotlib._docstring
import time:       365 |        530 |                 matplotlib.mlab
import time:       798 |       3675 |               matplotlib.cbook
import time:       267 |        267 |                   matplotlib.backends.registry
import time:       145 |        412 |                 matplotlib.backends
import time:      1480 |       1480 |                     binascii
import time:       267 |       1747 |                   base64
import time:       219 |        219 |                     PIL._version
import time:       223 |        442 |                   PIL
import time:      1453 |       1453 |                     PIL.ExifTags
import time:       295 |        295 |                     PIL.ImageMode
import time:       392 |        392 |                     PIL.TiffTags
import time:       171 |        171 |                     PIL._binary
import time:       125 |        125 |                     PIL._deprecate
import time:       137 |        137 |                     PIL._util
import time:        31 |         31 |                     defusedxml
import time:      2865 |       2865 |                     PIL._imaging
import time:      1200 |       6664 |                   PIL.Image
import time:      2102 |       2102 |                         _decimal
import time:       173 |       2275 |                       decimal
import time:       476 |       2750 |                     fractions
import time:       222 |        222 |                     PIL.ImageChops
import time:       382 |        382 |                     PIL.ImageFile
import time:      1693 |       1693 |                       array
import time:       206 |        206 |                       PIL.GimpGradientFile
import time:       141 |        141 |                       PIL.GimpPaletteFile
import time:       188 |        188 |                       PIL.ImageColor
import time:       127 |        127 |                       PIL.PaletteFile
import time:       236 |       2588 |                     PIL.ImagePalette
import time:       108 |        108 |                     PIL.ImageSequence
import time:       648 |       6694 |                   PIL.PngImagePlugin
import time:       246 |        246 |                   matplotlib._cm
import time:      1827 |       1827 |                         matplotlib._path
import time:       220 |        220 |                           matplotlib.bezier
import time:       304 |        524 |                         matplotlib.path
import time:       728 |       3078 |                       matplotlib.transforms
import time:       653 |       3731 |                     matplotlib.ticker
import time:       452 |       4183 |                   matplotlib.scale
import time:       432 |        432 |                   matplotlib._color_data
import time:       946 |      21350 |                 matplotlib.colors
import time:       197 |        197 |                     pyparsing.warnings
import time:       309 |        309 |                     pyparsing.util
import time:       275 |        275 |                       pyparsing.unicode
import time:       805 |       1080 |                     pyparsing.exceptions
import time:       248 |        248 |                       pyparsing.results
import time:       278 |        526 |                     pyparsing.actions
import time:      4556 |       4556 |                     pyparsing.core
import time:       590 |        590 |                           html.entities
import time:       281 |        871 |                         html
import time:         8 |        879 |                       html.entities
import time:      1136 |       2014 |                     pyparsing.helpers
